Simeria||21763102|335900||2014-02-14T21:49:42+00:00|F20 /264 /2007|2014-02-14T21:49:42+00:00|0730971140|Hunedoara|Str. Vasile Alecsandri 6|0|Sterp Simion PersoanĂ FizicĂ AutorizatĂ|Simeria
Hunedoara||21713821|||2014-02-14T21:50:35+00:00|J20 /704 /2007|2014-02-14T21:50:35+00:00||Hunedoara|B Dul Corvin 12|0|Tehnopan Consult S.R.L.|Hunedoara
Simeria||21721158|335900||2014-02-14T21:50:39+00:00|J20 /718 /2007|2014-02-14T21:50:39+00:00|0749254710|Hunedoara|Str. Victoriei 17|0|Casa Real Management S.R.L.|Simeria
Hunedoara||21721107|331032||2014-02-14T21:50:44+00:00|J20 /721 /2007|2014-02-14T21:50:44+00:00|0720301837|Hunedoara|Str. Carpati 1|0|Fralil Top S.R.L.|Hunedoara
Orastie||21890645|335700||2014-02-14T21:50:49+00:00|J20 /842 /2007|2014-02-14T21:50:49+00:00|0744222212|Hunedoara|Str. Nicolae Balcescu 2|1|Negrea Prodserv S.R.L.|Orăştie
Uricani||22039966|336100||2014-02-14T21:50:54+00:00|J20 /948 /2007|2014-02-14T21:50:54+00:00||Hunedoara|Str. Republicii 18|0|Confroms S.R.L.|Uricani
Hateg||21938875|335500||2014-02-14T21:50:59+00:00|J20 /877 /2007|2014-02-14T21:50:59+00:00||Hunedoara|Aleea Centralei (Piata Orasului Hateg) 8|0|Merry And Tony Magnifique S.R.L.|Haţeg
Hunedoara||21748897|331136||2014-02-14T21:51:04+00:00|J20 /741 /2007|2014-02-14T21:51:04+00:00|0720178441|Hunedoara|Str. Rindunicii 3|0|Klaus & Mary Team S.R.L.|Hunedoara
Voia||21824200|||2014-02-14T21:51:09+00:00|J20 /808 /2007|2014-02-14T21:51:09+00:00|0724900724|Hunedoara|Str. PrincipalĂ 57|0|Ueg Salubris S.R.L.|Voia
PetroŞAni||27614967|332070||2014-02-14T21:51:14+00:00|F20 /1511 /2010|2014-02-14T21:51:14+00:00|0732027735|Hunedoara|Str. ŞOimilor 50|0|UrÎTu Constantin Fermier PersoanĂ FizicĂ AutorizatĂ|Petroşani
Fintoag||27615229|337283||2014-02-14T21:51:52+00:00|F20 /1537 /2010|2014-02-14T21:51:52+00:00|0723847553|Hunedoara|50|0|Muntean Marius Apicultor PersoanĂ FizicĂ AutorizatĂ|Fîntoag
Curechiu||27552554|337146||2014-02-14T21:51:56+00:00|F20 /1327 /2010|2014-02-14T21:51:56+00:00|0735664758|Hunedoara|10|0|HaneŞ Sorin Marius PersoanĂ FizicĂ AutorizatĂ|Curechiu
GalaŢI||27552570|337349||2014-02-14T21:52:02+00:00|F20 /1329 /2010|2014-02-14T21:52:02+00:00|0724362422|Hunedoara|56|0|DrĂGhiciu Ion Dorel PersoanĂ FizicĂ AutorizatĂ|Galaţi
GalaŢI||27567911|337349||2014-02-14T21:52:08+00:00|F20 /1340 /2010|2014-02-14T21:52:08+00:00|0749022374|Hunedoara|136|0|Petea Alexe PersoanĂ FizicĂ AutorizatĂ|Galaţi
TâRşA||27552490|337103||2014-02-14T21:52:14+00:00|F20 /1321 /2010|2014-02-14T21:52:14+00:00|0764024587|Hunedoara|88|0|Jujan Vasile Onu ÎNtreprindere IndividualĂ|Târşa
VĂLiŞOara||27552589|337520||2014-02-14T21:52:19+00:00|F20 /1330 /2010|2014-02-14T21:52:19+00:00|0740591272|Hunedoara|210|0|IndrieŞ Viorel Ionel PersoanĂ FizicĂ AutorizatĂ|Vălişoara
